image,bbox,conf
00647f8ff9f243.jpg,[[0  220  1361  676]],[0.629883]
00665aba3c163b.jpg,[[2425  765  3101  1001]],[0.669922]
0067205f90977d.jpg,[[1  22  308  271]],[0.665527]
006b2548d360a6.jpg,[[311  92  2121  461]],[0.82666]
006cc681396f71.jpg,[[1  80  3600  1200]],[0.818359]
006f1f7c9ea3c2.jpg,[[1354  770  2628  1233]],[0.728027]
006fc52f81ab7d.jpg,[[422  720  2630  1557]],[0.599121]
007003e07cb9fd.jpg,[[116  1069  2592  1607]],[0.861816]
007097146016e6.jpg,[[6  11  1794  648]],[0.689453]
0070b4e405cd8d.jpg,[[1262  896  2105  1325]],[0.72168]
0074ad8c5e4a13.jpg,[[1466  670  3411  1258]],[0.757812]
00756614506440.jpg,[[0  0  3501  846]],[0.835938]
0076826dae9092.jpg,[[1  27  3599  613]],[0.769043]
007784cb6d6631.jpg,[[0  80  309  250]],[0.704102]
0079009e883e38.jpg,[[1  113  1852  754]],[0.618652]
00790eab417e06.jpg,[[0  58  1227  323]],[0.850586]
007991a750a4f2.jpg,[[0  10  585  411]],[0.747559]
007b91c88a2da3.jpg,[[1191  727  2935  1315]],[0.807617]
0081186855e29a.jpg,[[27  51  1482  297]],[0.76416]
00813a03e678c3.jpg,[[1365  642  2175  1132]],[0.782227]
00835b2e9aa162.jpg,[[642  1225  3236  1694]],[0.770508]
0086e36dfb15fd.jpg,[[1  20  3577  1036]],[0.489258]
008705d384b02a.jpg,[[22  351  3012  1790]],[0.378418]
00870a2b4f5f60.jpg,[[1223  1085  2691  1373]],[0.744629]
008b4760ade506.jpg,[[1587  1185  2046  1460]],[0.635254]
008bb028b196d8.jpg,[[11  10  2955  358]],[0.613281]
008c5d3fc215ac.jpg,[[94  258  596  529]],[0.414795]
008dd551cef1d8.jpg,[[431  448  2545  1344]],[0.800293]
008f60577b4f60.jpg,[[12  233  1029  639]],[0.816406]
00931cfd50f2b0.jpg,[[0  98  2784  1730]],[0.626953]
009379360f0987.jpg,[[523  454  2876  1775]],[0.662109]
00958b624f455c.jpg,[[160  385  1478  743]],[0.64502]
009642068626f9.jpg,[[3  82  875  539]],[0.655762]
00967c436ea86f.jpg,[[95  44  920  301]],[0.743164]
009a307f9f483c.jpg,[[0  0  2754  1055]],[0.700195]
009b6593ccc800.jpg,[[1062  218  2531  954]],[0.788086]
009c968192535f.jpg,[[81  648  2657  1143]],[0.744629]
009d3abcd8d794.jpg,[[0  8  3600  827]],[0.841309]
009e1a16460b26.jpg,[[3  17  1375  338]],[0.841309]
00a198105cdc24.jpg,[[2  10  1542  1133]],[0.838867]
00a3449831cb17.jpg,[[0  0  791  583]],[0.811523]
00a4745e7218c4.jpg,[[0  76  974  678]],[0.76123]
00a5f0c7e639ce.jpg,[[150  158  3385  874]],[0.584961]
00aa710486d3b5.jpg,[[884  460  2191  1172]],[0.608398]
00ab71e582117c.jpg,[[0  174  860  657]],[0.709961]
00ac4935ad83b4.jpg,[[0  25  1285  551]],[0.84082]
00afe60388a560.jpg,[[1221  1289  2340  1653]],[0.786621]
00afe7b25dc241.jpg,[[109  336  1189  505]],[0.700684]
00b0f5aa111833.jpg,[[0  6  322  346]],[0.862793]
00b3bf2c51d511.jpg,[[98  297  1838  928]],[0.65918]
00b71c50bb2be4.jpg,[[101  85  3521  869]],[0.712891]
00b773df4a863d.jpg,[[1780  1190  2098  1304]],[0.688477]
00b7e608440f77.jpg,[[211  522  2435  1344]],[0.740723]
00bd3260725f0c.jpg,[[0  45  959  864]],[0.742188]
00be328933f508.jpg,[[56  12  3600  663]],[0.849121]
00bf58d0f7b4c1.jpg,[[2  104  1307  404]],[0.732422]
00c0135a96f085.jpg,[[10  38  3600  1771]],[0.740234]
00c021e7dc6da2.jpg,[[11  911  2924  1539]],[0.75]
00c0bf276875e0.jpg,[[0  102  766  550]],[0.57666]
00c4c5832c0c78.jpg,[[0  81  1503  1023]],[0.692871]
00cb904cf19b86.jpg,[[886  683  3479  2336]],[0.654785]
00ce336ef6b8b5.jpg,[[1635  1399  2023  1523]],[0.76123]
00cf2ccfae0f7e.jpg,[[0  21  1452  1363]],[0.830078]
00cf7a68a89a6d.jpg,[[677  937  2195  1323]],[0.863281]
00d0927689a7a2.jpg,[[1552  914  2280  1165]],[0.807617]
00d0f38d99c221.jpg,[[1110  1275  1857  1644]],[0.748535]
00d113413a1d49.jpg,[[0  104  1829  538]],[0.787109]
00d57842379951.jpg,[[4  8  2472  441]],[0.792969]
00d6a347b07263.jpg,[[187  63  713  502]],[0.349609]
00db5ec9e46a3d.jpg,[[3  241  1518  787]],[0.687012]
00de478885ca7c.jpg,[[482  292  2472  1111]],[0.790527]
00e130666ba6e6.jpg,[[1442  1346  2303  1584]],[0.638672]
00e3258f41806c.jpg,[[1544  827  2125  1053]],[0.647949]
00e4b6642f7f5a.jpg,[[0  110  1542  960]],[0.800781]
00e67227918b41.jpg,[[151  855  1990  1191]],[0.71875]
00e6b936f02c6e.jpg,[[48  30  3592  671]],[0.8125]
00e828b22fe365.jpg,[[21  26  508  151]],[0.794434]
00e82b4e0691e1.jpg,[[1413  600  2685  1037]],[0.774414]
00e9136ab88016.jpg,[[631  329  3195  1674]],[0.643555]
00eb3441343226.jpg,[[1634  1155  1983  1255]],[0.802734]
00eb689c10db84.jpg,[[3  589  2230  1043]],[0.810547]
00eb80dafb4fda.jpg,[[1  6  1371  309]],[0.821777]
00eea1a5b9d8bc.jpg,[[0  8  750  309]],[0.79834]
00efc65d9f69ee.jpg,[[511  382  993  499]],[0.725098]
00f0f055d749fa.jpg,[[294  564  2611  1384]],[0.702637]
00f266025063e7.jpg,[[886  846  2297  1681]],[0.733887]
00f286edc2e6bb.jpg,[[974  1111  2681  1442]],[0.808105]
00f32804ed5fb3.jpg,[[0  263  2497  1561]],[0.75]
00f3e4528e819e.jpg,[[2  225  995  480]],[0.728027]
00f45997b905c3.jpg,[[0  3  1080  1082]],[0.747559]
00f5b73aa72279.jpg,[[672  638  2195  1610]],[0.768555]
00f6d88f12dcf8.jpg,[[1213  1192  1904  1324]],[0.810059]
00f7ab6adcb2dd.jpg,[[0  19  3558  1753]],[0.660156]
00f9b3f53e440e.jpg,[[0  64  3589  2399]],[0.852539]
00f9c62840d4d0.jpg,[[0  74  524  288]],[0.658203]
00fa44f35d843b.jpg,[[9  43  1528  1082]],[0.772461]
00fa57e4793b90.jpg,[[1208  1635  1909  1765]],[0.751465]
00fa70fb2c3673.jpg,[[7  63  1307  225]],[0.756836]
00fb7dd2e41765.jpg,[[1623  715  2765  1196]],[0.734863]
00fd2ba8c057e3.jpg,[[1035  1015  2241  1292]],[0.592773]
00fdcc59386b20.jpg,[[104  736  3294  2108]],[0.360596]
00fe0f599a58cd.jpg,[[1  19  1129  1032]],[0.825684]
01007d63ca94b1.jpg,[[11  137  1793  1184]],[0.691895]
010134d3eeb07e.jpg,[[11  128  2524  1691]],[0.813965]
0103735160dd47.jpg,[[1095  1058  2812  1396]],[0.602051]
0104ac335f66f9.jpg,[[10  122  1819  414]],[0.74707]
0104c0fd90132f.jpg,[[0  14  387  312]],[0.794922]
0106d276033b78.jpg,[[948  803  2536  1177]],[0.871582]
01086bfef670be.jpg,[[0  37  1021  670]],[0.835938]
0108abfde9a987.jpg,[[1679  1276  2629  1618]],[0.837402]
01091adf08fe11.jpg,[[11  547  2908  1923]],[0.719238]
010c211438b04b.jpg,[[1629  898  2031  1075]],[0.688477]
010cb3070c237e.jpg,[[8  117  1435  937]],[0.673828]
010cc9eff49810.jpg,[[7  11  374  107]],[0.739258]
010d5ad0f83ae5.jpg,[[546  765  3007  1344]],[0.833496]
010e82a9b3c737.jpg,[[411  798  3295  1182]],[0.654785]
010fcbf54ae273.jpg,[[1390  719  3240  1406]],[0.800293]
010feffc934b3d.jpg,[[1342  1077  2045  1245]],[0.765625]
0111bce383805b.jpg,[[1  12  350  307]],[0.766113]
0111e5b7996776.jpg,[[1348  1104  2063  1465]],[0.721191]
0112262f4d1f65.jpg,[[82  1117  1848  1370]],[0.59082]
01124319d84eda.jpg,[[584  545  1686  733]],[0.445557]
01127023ed6443.jpg,[[0  0  974  559]],[0.654785]
01128c0e26a1b8.jpg,[[531  793  2298  1170]],[0.806152]
01130df8d2d82b.jpg,[[353  852  1596  1101]],[0.57959]
0113b8b3ee71e6.jpg,[[536  671  3222  1204]],[0.850586]
0119fc31d81817.jpg,[[7  124  2220  528]],[0.824219]
011b0bb16bb223.jpg,[[0  1  150  159]],[0.791992]
011c2171176e57.jpg,[[562  1150  2509  1676]],[0.820312]
011d24b8b00f84.jpg,[[1128  547  3324  1490]],[0.708984]
011f36f5e0b772.jpg,[[1281  752  1970  1174]],[0.698242]
01205db44cf1e4.jpg,[[0  7  1022  712]],[0.840332]
01241e2d4a6abd.jpg,[[1171  775  2487  1465]],[0.712891]
01287e826d29a8.jpg,[[3  0  1061  524]],[0.699219]
012b8b46cfdf1c.jpg,[[11  0  2296  434]],[0.678223]
012c710965bd74.jpg,[[67  65  1259  959]],[0.407715]
0130886c5f63bb.jpg,[[0  23  3599  848]],[0.815918]
01308e45bf22d3.jpg,[[1151  1002  2165  1697]],[0.689453]
01351200256f2c.jpg,[[1482  1135  2256  1446]],[0.65918]
0135e7c19d415c.jpg,[[104  148  1582  507]],[0.803223]
0136f516926d6a.jpg,[[0  9  1422  1028]],[0.79834]
013a9437efc47d.jpg,[[213  49  1333  258]],[0.800293]
013b98eeda7a81.jpg,[[0  19  1821  455]],[0.838379]
013bc2c2a594a1.jpg,[[102  71  895  238]],[0.59082]
013cdf45f229eb.jpg,[[1380  1054  3599  1841]],[0.770508]
013cfccddd6768.jpg,[[452  681  3222  1221]],[0.813965]
0141b6f29e9a00.jpg,[[0  0  1488  265]],[0.71875]
014214dc22a0ed.jpg,[[31  502  3546  1487]],[0.803223]
01428cdcab4d66.jpg,[[179  190  2436  801]],[0.731934]
0143b99b22f2c1.jpg,[[6  7  1228  253]],[0.799316]
014431c21c6a98.jpg,[[850  810  1841  1201]],[0.762207]
014677910446f1.jpg,[[0  3  1947  644]],[0.714844]
014699bde284ee.jpg,[[1  57  2575  749]],[0.831055]
01478f3794e3d7.jpg,[[0  134  974  696]],[0.723145]
0147d65f4229c6.jpg,[[0  101  1393  1165]],[0.837402]
01485c37a6aba7.jpg,[[0  50  1068  851]],[0.788086]
0148a269e843c6.jpg,[[347  804  1655  1028]],[0.377197]
01492ef72f6b48.jpg,[[1235  725  2346  1268]],[0.814453]
014a0116965ca3.jpg,[[6  0  2653  417]],[0.728516]
014ba64e8ce8ec.jpg,[[10  781  3582  1683]],[0.712891]
014c8f2bee256e.jpg,[[1  22  1980  543]],[0.740234]
014d58ae6a59b4.jpg,[[0  50  614  433]],[0.729492]
014dc3fa335192.jpg,[[110  778  3426  1580]],[0.726562]
014f6d1c690aff.jpg,[[0  18  727  595]],[0.695801]
01504a17d6a680.jpg,[[0  74  3197  2111]],[0.712891]
0150fe50e01694.jpg,[[0  0  945  1000]],[0.84668]
0151559debca5b.jpg,[[177  543  1812  791]],[0.853027]
01528459216ab1.jpg,[[269  644  1579  916]],[0.763672]
0152e03282b76f.jpg,[[1551  1199  2625  1453]],[0.70166]
015526265ab976.jpg,[[0  7  918  667]],[0.383057]
01558f02f65136.jpg,[[6  11  817  150]],[0.76709]
01569010785472.jpg,[[212  1201  2606  1808]],[0.818359]
0156ae7b1a45dc.jpg,[[2  55  1532  1256]],[0.726562]
01593ab001b56a.jpg,[[0  632  2137  1633]],[0.75]
015997f3ce892c.jpg,[[3  0  1270  1013]],[0.856445]
015af1c1c4ba43.jpg,[[1  26  3500  1191]],[0.847168]
015b9c7df6b33a.jpg,[[529  1387  3378  2863]],[0.782227]
015e210d90a490.jpg,[[0  73  2018  799]],[0.835938]
015e9cc83e2b7f.jpg,[[1760  1444  2553  1607]],[0.762695]
015f821050cab5.jpg,[[857  509  3456  1569]],[0.787109]
0160e42335b69d.jpg,[[1  73  1369  736]],[0.74707]
0161145721b62e.jpg,[[0  55  1883  1239]],[0.773926]
0161353eb58f81.jpg,[[8  28  1800  1195]],[0.755859]
01614d81068ff6.jpg,[[3  0  2356  1077]],[0.786133]
01615264fa5c3e.jpg,[[18  347  3577  886]],[0.824219]
016184c3f563b9.jpg,[[0  4  1026  768]],[0.865234]
01637f0b588ed8.jpg,[[776  1261  1701  1450]],[0.731934]
0163f10010bd1b.jpg,[[4  164  1051  690]],[0.536133]
0164d8fd7a7cfe.jpg,[[590  613  2598  1192]],[0.836914]
0165012ef21b28.jpg,[[201  180  1858  543]],[0.794922]
0167aca06ff1c2.jpg,[[969  619  2252  1457]],[0.687012]
016b90045715a8.jpg,[[58  21  2039  1340]],[0.643555]
016d7c23878254.jpg,[[3  20  920  802]],[0.76709]
016e9030a195e6.jpg,[[1203  690  2495  1290]],[0.776855]
01707fff2f49bc.jpg,[[295  1160  3484  1716]],[0.824219]
0170c7b65aa8ee.jpg,[[1412  1081  2424  1422]],[0.76123]
01718fb61d4f79.jpg,[[0  0  3594  683]],[0.677246]
017530c72fcd5b.jpg,[[530  779  3413  1379]],[0.794434]
017583ffadc434.jpg,[[927  498  3440  1345]],[0.803223]
017599446c556c.jpg,[[497  934  1895  1475]],[0.788086]
0175da3aa1062a.jpg,[[4  6  1591  373]],[0.811035]
0178b96f0f1085.jpg,[[453  942  2688  1834]],[0.621582]
017b8edb24c2c6.jpg,[[18  48  1731  1160]],[0.809082]
017ebb4d3d7dea.jpg,[[1  280  1336  927]],[0.504883]
018097f71fbc8f.jpg,[[0  9  304  283]],[0.790527]
0180f16956a57a.jpg,[[9  16  3441  1228]],[0.812988]
0183c302f9110a.jpg,[[10  6  3078  460]],[0.733887]
018490eafcf301.jpg,[[4  859  3599  1536]],[0.675781]
01855151670ece.jpg,[[0  0  2176  2639]],[0.814453]
01870901b93c90.jpg,[[0  0  3575  630]],[0.771973]
018722a50f72f7.jpg,[[1  39  1680  396]],[0.815918]
018758f87100cf.jpg,[[563  403  3090  1082]],[0.714844]
01887df096098a.jpg,[[8  15  284  61]],[0.562988]
0189635c8ac226.jpg,[[3  11  3599  715]],[0.861328]
0189a3eec84aed.jpg,[[2085  1340  2431  1438]],[0.790039]
018c26d1c4ac2f.jpg,[[759  1003  3020  1461]],[0.806641]
018e35c5dabb3f.jpg,[[43  246  2941  1117]],[0.702637]
018eb32d843bb9.jpg,[[350  193  612  398]],[0.619629]
0191b5c7854c24.jpg,[[936  1059  2387  1372]],[0.680664]
01924fda9cf0d1.jpg,[[0  408  3594  1941]],[0.734863]
019389fefbe6c8.jpg,[[1122  775  2461  1430]],[0.785156]
0194a42a1edeb0.jpg,[[6  93  3600  1628]],[0.6875]
01972fb69e6d55.jpg,[[16  34  545  182]],[0.754395]
01984b7529b1b7.jpg,[[0  59  3554  2391]],[0.719238]
01996aeff0a23a.jpg,[[817  701  1930  1323]],[0.599121]
0199c4cb8fd996.jpg,[[1251  1091  1591  1226]],[0.709961]
019cec049e2d63.jpg,[[1802  1288  2193  1396]],[0.42627]
019e943e277f9d.jpg,[[1153  1049  2070  1198]],[0.794922]
019ef4edb9fc7b.jpg,[[72  790  3588  1593]],[0.74707]
019fa1f581f819.jpg,[[1016  806  1986  970]],[0.588867]
01a00da8c2d098.jpg,[[1094  673  2691  1396]],[0.72168]
01a22827047da8.jpg,[[0  185  1213  881]],[0.558105]
01a3aeb3ceb649.jpg,[[325  1050  2401  1606]],[0.779785]
01a5b3028d54a2.jpg,[[0  0  2483  463]],[0.688477]
01a6df4835fb09.jpg,[[15  0  1237  210]],[0.697754]
01a6f267236aa7.jpg,[[396  1207  2823  1869]],[0.770996]
01a8ef2a189e24.jpg,[[645  863  1122  1076]],[0.820801]
01a9fa70e24958.jpg,[[0  0  342  495]],[0.678223]
01aabe9ce0cd33.jpg,[[923  833  2098  1313]],[0.827637]
01ac458d9c44d7.jpg,[[12  24  1617  1057]],[0.677246]
01b371886547bd.jpg,[[513  642  1470  843]],[0.632324]
01b3fd19d99f67.jpg,[[1436  925  2144  1249]],[0.730957]
01b46ee97eecf6.jpg,[[0  82  1525  432]],[0.827637]
01b61298b216d2.jpg,[[236  471  2919  1652]],[0.640625]
01b9aa6b03f298.jpg,[[1168  975  1905  1306]],[0.637695]
01ba768f21e36b.jpg,[[6  0  2956  435]],[0.82959]
01baf9419e6970.jpg,[[701  913  2826  1517]],[0.688477]
01bb74f1413cda.jpg,[[0  0  3593  767]],[0.84082]
01bd86ac2a6702.jpg,[[0  76  1095  1027]],[0.721191]
01be6bc2fad6fc.jpg,[[0  63  1324  892]],[0.684082]
01bff0f0e91901.jpg,[[0  36  965  277]],[0.811035]
01c0f5e467fb77.jpg,[[0  304  3589  2221]],[0.814453]
01c34ac8332138.jpg,[[1509  950  1944  1226]],[0.598145]
01c47f206d28c2.jpg,[[795  398  2607  1244]],[0.648926]
01c5ef7978d145.jpg,[[44  830  3318  1301]],[0.798828]
01c6c00a51271c.jpg,[[1259  614  2966  1374]],[0.67334]
01c76e54058656.jpg,[[1008  520  3456  1341]],[0.759766]
01c8f700ee6013.jpg,[[8  0  3047  606]],[0.652344]
01cae4f5a7cb36.jpg,[[772  682  2433  1411]],[0.732422]
01cbdcfb6765bf.jpg,[[6  212  2999  791]],[0.84082]
01ce63d2db2d26.jpg,[[1  19  915  779]],[0.730469]
01ce8b40e2b209.jpg,[[0  135  1803  1109]],[0.750488]
01ce92cd4a6846.jpg,[[0  0  3599  851]],[0.82959]
01d05c312c7c3e.jpg,[[478  681  2638  1442]],[0.71875]
01d10c56c5984b.jpg,[[54  7  1401  368]],[0.8125]
01d1958c450eca.jpg,[[181  291  3599  1859]],[0.727051]
01d81418e2c6d7.jpg,[[25  0  3033  342]],[0.778809]
01d93a87df9851.jpg,[[10  16  1383  262]],[0.684082]
01d95ee1287279.jpg,[[1143  1083  2360  1304]],[0.63623]
01d9d4632ab259.jpg,[[0  218  3504  2330]],[0.831543]
01dc3bccd7e296.jpg,[[54  65  1243  343]],[0.757812]
01dc9395572ccc.jpg,[[1280  1105  1887  1394]],[0.545898]
01de8ec0729b75.jpg,[[1605  842  2215  1240]],[0.680664]
01e1590083b363.jpg,[[314  561  3200  1328]],[0.786133]
01e290442ac7b2.jpg,[[2064  851  3504  1538]],[0.626953]
01e29b04108911.jpg,[[2  3  1941  442]],[0.834961]
01e41eb457163d.jpg,[[360  363  2879  1650]],[0.341553]
01e45c25dfafde.jpg,[[51  92  471  215]],[0.698242]
01e775c518a824.jpg,[[4  617  2573  1415]],[0.769043]
01ee04e69e63ec.jpg,[[285  1022  1700  1361]],[0.806641]
01ee6a6c231fa5.jpg,[[1386  943  2542  1328]],[0.733398]
01ee6e67b224b5.jpg,[[0  0  3080  1076]],[0.660156]
01eed3668fbb1f.jpg,[[4  0  2616  502]],[0.694336]
01ef1a84894e0e.jpg,[[1758  1448  2711  1723]],[0.810547]
01f01ee4ae20ec.jpg,[[0  35  2103  632]],[0.791992]
01f1ccbf40feae.jpg,[[1351  179  2736  919]],[0.773438]
01f2bafef54906.jpg,[[2186  1280  2718  1683]],[0.523438]
01f313b140012e.jpg,[[0  0  3069  700]],[0.885742]
01f32ea3cf1c95.jpg,[[782  843  2553  1475]],[0.79834]
01f389f8b0b4aa.jpg,[[18  7  615  117]],[0.683594]
01f6fc3c1747e3.jpg,[[0  192  1501  1495]],[0.551758]
01f84cf5697906.jpg,[[0  4  830  382]],[0.692871]
01f947034a8642.jpg,[[0  0  741  475]],[0.869141]
01fa387f09df5e.jpg,[[3  114  1115  1100]],[0.505859]
01fa8544caa54b.jpg,[[0  9  1980  457]],[0.84375]
01feb3f7735bfe.jpg,[[0  0  193  230]],[0.825684]
0202499d0f213c.jpg,[[231  578  2101  1147]],[0.73584]
0204e67d399a45.jpg,[[678  1454  2477  1870]],[0.768555]
0209e6dd020a3a.jpg,[[0  0  538  630]],[0.693359]
020b7862ab7b77.jpg,[[930  653  1382  746]],[0.641602]
020d0d35038cae.jpg,[[13  61  3583  560]],[0.785156]
020d398390a6c8.jpg,[[0  94  1989  556]],[0.801758]
020d965964c781.jpg,[[0  0  3504  776]],[0.854492]
020db533f2a563.jpg,[[0  43  364  328]],[0.81543]
020dd63f06e595.jpg,[[678  440  3253  1631]],[0.500977]
020e61404a740c.jpg,[[4  37  1042  277]],[0.831055]
020f01c713d9c3.jpg,[[1473  523  3599  1395]],[0.648926]
02107bfbd7deec.jpg,[[1319  1306  1729  1430]],[0.76123]
0211bac7232f2c.jpg,[[17  251  2207  1270]],[0.750488]
02127b59ba61e6.jpg,[[11  33  883  617]],[0.695801]
021541b01f2d99.jpg,[[0  4  765  911]],[0.818848]
0215ab401d8634.jpg,[[0  0  3600  907]],[0.733398]
0215acb9628fc3.jpg,[[1652  1003  2235  1138]],[0.731934]
0215e2cea36362.jpg,[[37  28  3599  2113]],[0.563965]
021714bc6c7fe3.jpg,[[0  63  1913  1268]],[0.773438]
0218d72ec1840e.jpg,[[0  45  3397  1697]],[0.634277]
0219a3e1e78707.jpg,[[27  0  1311  254]],[0.633301]
021af16d60decc.jpg,[[0  0  3293  778]],[0.84668]
021c4c80fc0750.jpg,[[22  314  3591  823]],[0.822754]
021d34349c3ce5.jpg,[[299  235  1391  691]],[0.751953]
021f95b354ed75.jpg,[[64  129  2156  615]],[0.786133]
0220a86df61afd.jpg,[[1149  915  2111  1231]],[0.811035]
02230215614250.jpg,[[854  1008  1904  1465]],[0.811035]
0224fd5c3ea54a.jpg,[[0  79  2253  1139]],[0.755859]
02250ccb307e1d.jpg,[[1  70  1372  371]],[0.826172]
02271957ede4ce.jpg,[[1673  835  2423  1014]],[0.563965]
02278d7a7d207e.jpg,[[1225  942  2649  1400]],[0.76416]
0227d4c3ca9371.jpg,[[0  79  992  724]],[0.652344]
0228bbb3cd1543.jpg,[[4  0  3593  822]],[0.85498]
022aae22eb24bc.jpg,[[55  447  2711  1367]],[0.52832]
022cb725f51c9a.jpg,[[957  947  2191  1329]],[0.697754]
022d361f2d7f7a.jpg,[[759  1011  2379  1543]],[0.841309]
022e72fb7fbc20.jpg,[[1  15  1253  1004]],[0.689453]
022f1a1ba650e1.jpg,[[1485  1339  2137  1527]],[0.748535]
022f3c80ae8e8b.jpg,[[1  299  3593  2372]],[0.728027]
022ffde826fa55.jpg,[[8  37  3591  1152]],[0.790039]
023099ebf6f825.jpg,[[180  290  2970  1488]],[0.737305]
02312d50b8c24e.jpg,[[702  615  1818  845]],[0.646973]
02315602e28a15.jpg,[[0  30  1095  517]],[0.741699]
0231d99742b061.jpg,[[15  297  2455  1637]],[0.762207]
02324e8b007b2e.jpg,[[0  96  604  269]],[0.796387]
02327287811c19.jpg,[[0  11  908  375]],[0.826172]
0232ad302054e0.jpg,[[577  891  1876  1151]],[0.561035]
0232d40766a823.jpg,[[0  122  3435  1127]],[0.466309]
02331e6135ce61.jpg,[[7  71  1845  910]],[0.821777]
0233b581abddc4.jpg,[[1719  1213  1919  1356]],[0.454346]
02344653e7eba1.jpg,[[0  83  1940  764]],[0.820801]
0235f38a590f62.jpg,[[11  138  3600  842]],[0.796875]
02372cb6daae83.jpg,[[0  0  799  135]],[0.78125]
023749bfcb0fa0.jpg,[[0  18  2045  778]],[0.685059]
023b634aa2cccc.jpg,[[0  719  2031  1481]],[0.811035]
023d1c9292a934.jpg,[[299  0  1455  409]],[0.807617]
